ID	Origin	Title
Problem A	POJ 3278	 广搜 基础
Problem B	POJ 1979	 广搜/深搜 基础
Problem C	POJ 2243	 广搜 基础
Problem D	POJ 1915	 广搜 基础
Problem E	POJ 3984	 广搜记录路径 基础
Problem F	POJ 1111	 广搜 基础
Problem G	POJ 2488	 深搜 基础
Problem H	POJ 1562	 深搜/广搜 基础
Problem I	POJ 1564	 深搜 基础
Problem J	POJ 3009	 深搜 基础
Problem K	POJ 1321	 深搜 基础
Problem L	POJ 1101	 广搜 加强
Problem M	ZOJ 2412	 广搜 加强
Problem N	HDU 4771	 广搜 加强
Problem O	POJ 1077	 广搜 加强
Problem P	POJ 1011	 深搜 加强
Problem Q	POJ 1190	 深搜 加强
Problem R	POJ 3411	 深搜 加强
Problem S	POJ 2870	 深搜 加强
